date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
3/17/21,1:00:00,0.0,7.111000061,72.04370117,0.0,931.2711792,14.39999962,9.290511131,9.861000061,7.31099987,0.337000012,0.319000006,N
3/17/21,2:00:00,0.0,5.910999775,77.13697052,0.0,931.2820435,3.599999905,7.594208241,8.861000061,7.460999966,0.335999995,0.319000006,N
3/17/21,3:00:00,0.0,4.460999966,84.11062622,0.0,931.1229248,8.099999428,5.091168404,7.56099987,7.511000156,0.335999995,0.319000006,N
3/17/21,4:00:00,0.0,3.661000013,88.01879883,0.0,931.4301147,9.899999619,3.877318382,6.511000156,7.511000156,0.335000008,0.319000006,N
3/17/21,5:00:00,0.0,3.010999918,90.19441223,0.0,931.2332764,7.199999809,3.617955208,5.611000061,7.410999775,0.335000008,0.319000006,N
3/17/21,6:00:00,0.0,1.911000013,94.43101501,0.0,931.3549805,4.5,4.379589081,4.81099987,7.31099987,0.335000008,0.319000006,N
3/17/21,7:00:00,0.0,1.460999966,96.82120514,0.0,931.0343628,12.0,1.938659191,4.160999775,7.111000061,0.333999991,0.319000006,N
3/17/21,8:00:00,0.0,1.010999918,97.15962982,0.0,930.9872437,14.70000076,2.30512476,3.56099987,6.910999775,0.333999991,0.319000006,N
3/17/21,9:00:00,0.0,0.811000049,96.80450439,0.0,931.199707,25.5,1.938659191,3.210999966,6.710999966,0.333999991,0.319000006,N
3/17/21,10:00:00,0.0,0.711000025,97.15272522,0.0,931.0775146,41.70000458,0.719999969,2.81099987,6.511000156,0.333000004,0.319000006,N
3/17/21,11:00:00,0.0,1.161000013,94.73948669,0.0,930.9423218,9.300000191,0.719999969,2.710999966,6.261000156,0.333000004,0.319000006,N
3/17/21,12:00:00,0.0,0.911000013,91.02161407,0.0,930.5917969,15.90000057,6.696386814,2.56099987,6.210999966,0.328999996,0.317999989,N
3/17/21,13:00:00,0.0,1.260999918,90.3878479,0.0,930.7903442,9.600000381,5.959060192,2.210999966,6.011000156,0.328999996,0.317999989,N
3/17/21,14:00:00,0.0,1.56099999,89.10913849,0.0,931.1564331,5.100000381,6.130578995,1.960999966,5.81099987,0.328000009,0.317999989,N
3/17/21,15:00:00,0.0,3.661000013,85.53582001,0.0,932.2521362,15.60000038,5.154415131,2.161000013,5.56099987,0.328000009,0.317999989,N
3/17/21,16:00:00,0.0,5.710999966,77.37996674,0.0,932.9590454,46.20000458,6.618518829,3.661000013,5.460999966,0.328000009,0.317999989,N
3/17/21,17:00:00,0.0,7.210999966,72.83434296,0.0,932.8552246,40.80000305,7.89541626,5.410999775,5.460999966,0.326999992,0.317999989,N
3/17/21,18:00:00,0.0,8.561000824,70.06326294,0.0,933.25177,34.20000076,7.208993912,7.210999966,5.611000061,0.326999992,0.317999989,N
